sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
150,AITKEN PROFESSIONAL SERVICES LIMITED,SC450443,Private Limited Company,Active,United Kingdom,21/05/2013,,,ORAKARIA PERTH ROAD,MILNATHORT,KINROSS,,SCOTLAND,KY13 9XU,MICRO ENTITY,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/SC450443,,,,,,,,,,,,,,
151,GOLDSMAN TECH LTD,09516684,Private Limited Company,Active,United Kingdom,28/03/2015,,,UNIT 1 FIRST FLOOR,73 HANWORTH ROAD,HOUNSLOW,,ENGLAND,TW3 1TT,MICRO ENTITY,30300 - Manufacture of air and spacecraft and related machinery,"46170 - Agents involved in the sale of food, beverages and tobacco",,,http://business.data.gov.uk/id/company/09516684,,,,,,,,,,,,,,
152,AITCH CONSERVATION LTD,10179075,Private Limited Company,Active,United Kingdom,13/05/2016,,,32 SPRINGWOOD ESTATE,DELPH,OLDHAM,LANCASHIRE,UNITED KINGDOM,OL3 5HQ,TOTAL EXEMPTION FULL,01610 - Support activities for crop production,02100 - Silviculture and other forestry activities,02200 - Logging,74901 - Environmental consulting activities,http://business.data.gov.uk/id/company/10179075,,,,,,,,,,,,,,
153,ARTIFICIAL REAL TIME INTELLIGENCE AGENT LTD,16389271,Private Limited Company,Active,United Kingdom,15/04/2025,,,85 GREAT PORTLAND STREET,FIRST FLOOR,LONDON,,ENGLAND,W1W 7LT,NO ACCOUNTS FILED,58290 - Other software publishing,62020 - Information technology consultancy activities,,,http://business.data.gov.uk/id/company/16389271,,,,,,,,,,,,,,
154,LIAM DEEHAN HAULAGE LIMITED,13564003,Private Limited Company,Active,United Kingdom,12/08/2021,,,138 WOOD END GARDENS,,NORTHOLT,,ENGLAND,UB5 4QN,MICRO ENTITY,49410 - Freight transport by road,,,,http://business.data.gov.uk/id/company/13564003,,,,,,,,,,,,,,
155,THE VICTORIAN HOLDINGS GROUP LIMITED,17035430,Private Limited Company,Active,United Kingdom,16/02/2026,,,22-24 WORMWOOD STREET,,LONDON,,ENGLAND,EC2M 1RP,NO ACCOUNTS FILED,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/17035430,,,,,,,,,,,,,,
156,DRAGON LAIR TATTOO STUDIO LIMITED,04789211,Private Limited Company,Active,United Kingdom,05/06/2003,,,17 THE SPRINGS,,WAKEFIELD,WEST YORKSHIRE,ENGLAND,WF1 1QE,MICRO ENTITY,82990 - Other business support service activities n.e.c.,90030 - Artistic creation,,,http://business.data.gov.uk/id/company/04789211,,,,,,,,,,,,,,
157,PATIENT ADVOCATE CONSULTANCY SERVICES LIMITED,11458565,Private Limited Company,Active,United Kingdom,11/07/2018,,,C/O UHY HACKER YOUNG THAMES HOUSE,ROMAN SQUARE,SITTINGBOURNE,KENT,UNITED KINGDOM,ME10 4BJ,TOTAL EXEMPTION FULL,96090 - Other service activities n.e.c.,,,,http://business.data.gov.uk/id/company/11458565,,,,,,,,,,,,,,
158,NIKAM CONSULTING LIMITED,09051541,Private Limited Company,Active,United Kingdom,22/05/2014,,,SPORTSMAN FARM,ST. MICHAELS,TENTERDEN,KENT,,TN30 6SY,MICRO ENTITY,96090 - Other service activities n.e.c.,,,,http://business.data.gov.uk/id/company/09051541,,,,,,,,,,,,,,
159,KINDA LTD,13882841,Private Limited Company,Active,United Kingdom,31/01/2022,,,1104A HARROW ROAD,,LONDON,,ENGLAND,NW10 5NL,MICRO ENTITY,56102 - Unlicensed restaurants and cafes,,,,http://business.data.gov.uk/id/company/13882841,,,,,,,,,,,,,,
160,AGP AUTOSERVICE LTD,12277319,Private Limited Company,Active,United Kingdom,23/10/2019,,,UNIT 2 CROFT FARM,BREDONS HARDWICK,TEWKESBURY,,ENGLAND,GL20 7EE,TOTAL EXEMPTION FULL,45200 - Maintenance and repair of motor vehicles,,,,http://business.data.gov.uk/id/company/12277319,,,,,,,,,,,,,,
161,MATT COX LTD,05212950,Private Limited Company,Active,United Kingdom,24/08/2004,,,MATT COX,257 WOOLTON ROAD,LIVERPOOL,,,L16 8NA,TOTAL EXEMPTION FULL,68209 - Other letting and operating of own or leased real estate,96020 - Hairdressing and other beauty treatment,,,http://business.data.gov.uk/id/company/05212950,,,,,,,,,,,,,,
162,KIDZPLAY COMMUNITY CIC,16883141,Community Interest Company,Active,United Kingdom,01/12/2025,,,154 STATION ROAD,,LONDON,,ENGLAND,E4 6AN,NO ACCOUNTS FILED,85600 - Educational support services,88910 - Child day-care activities,88990 - Other social work activities without accommodation n.e.c.,93290 - Other amusement and recreation activities n.e.c.,http://business.data.gov.uk/id/company/16883141,,,,,,,,,,,,,,
163,DIVAURAE CUSTOM LINGERIE MANUFACTURE LTD,11709579,Private Limited Company,Active,United Kingdom,04/12/2018,,,HOVA HOUSE,1 HOVA VILLAS,BRIGHTON & HOVE,,ENGLAND,BN3 3DH,TOTAL EXEMPTION FULL,14141 - Manufacture of men's underwear,14142 - Manufacture of women's underwear,14190 - Manufacture of other wearing apparel and accessories n.e.c.,47910 - Retail sale via mail order houses or via Internet,http://business.data.gov.uk/id/company/11709579,,,,,,,,,,,,,,
